Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
wpn_t9_1911_shot_plr,,,skye_ports\t9_1911\fire\wpn_t9_1911_shot1.wav,,,wpn_t9_shot_plr,,wpn_t9_1911_trig_pull_plr
wpn_t9_1911_shot_plr,,,skye_ports\t9_1911\fire\wpn_t9_1911_shot2.wav,,,wpn_t9_shot_plr,,wpn_t9_1911_trig_pull_plr
wpn_t9_1911_shot_plr,,,skye_ports\t9_1911\fire\wpn_t9_1911_shot3.wav,,,wpn_t9_shot_plr,,wpn_t9_1911_trig_pull_plr
wpn_t9_1911_shot_plr,,,skye_ports\t9_1911\fire\wpn_t9_1911_shot4.wav,,,wpn_t9_shot_plr,,wpn_t9_1911_trig_pull_plr
wpn_t9_1911_shot_plr,,,skye_ports\t9_1911\fire\wpn_t9_1911_shot5.wav,,,wpn_t9_shot_plr,,wpn_t9_1911_trig_pull_plr
wpn_t9_1911_shot_plr,,,skye_ports\t9_1911\fire\wpn_t9_1911_shot6.wav,,,wpn_t9_shot_plr,,wpn_t9_1911_trig_pull_plr
wpn_t9_1911_shot_npc,,,skye_ports\t9_1911\fire\wpn_t9_1911_shot1.wav,,,wpn_t9_shot_npc,,wpn_t9_1911_trig_pull_npc
wpn_t9_1911_shot_npc,,,skye_ports\t9_1911\fire\wpn_t9_1911_shot2.wav,,,wpn_t9_shot_npc,,wpn_t9_1911_trig_pull_npc
wpn_t9_1911_shot_npc,,,skye_ports\t9_1911\fire\wpn_t9_1911_shot3.wav,,,wpn_t9_shot_npc,,wpn_t9_1911_trig_pull_npc
wpn_t9_1911_shot_npc,,,skye_ports\t9_1911\fire\wpn_t9_1911_shot4.wav,,,wpn_t9_shot_npc,,wpn_t9_1911_trig_pull_npc
wpn_t9_1911_shot_npc,,,skye_ports\t9_1911\fire\wpn_t9_1911_shot5.wav,,,wpn_t9_shot_npc,,wpn_t9_1911_trig_pull_npc
wpn_t9_1911_shot_npc,,,skye_ports\t9_1911\fire\wpn_t9_1911_shot6.wav,,,wpn_t9_shot_npc,,wpn_t9_1911_trig_pull_npc
