Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber,
test_sound,,,tst\test_sound.wav,,,UIN_MOD,,,,,,,,,,,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
door_slide_open,,streamed,zmb\zmb_waw\wawzmb\sfx\levels\nazi_zombie_sumpf\doors\door_slide_open.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,,,85,85,50,100,250,,,,,,,,,-100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Environment sounds
generator,,loaded,amb\industrial\generator\generator_01.wav,,,AMB_AMBIENCE_3D_MOD,,,,,BUS_FX,,,,65,,77,77,150,950,950,,,,,,,,,,,,,,,,,,,looping,,,,100,200,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain_fence,,loaded,fly\bump\fence\chainlink\chainlink_00.wav,,,AMB_AMBIENCE_3D_MOD,,,,,BUS_FX,,,,65,,100,100,400,1000,1000,,,,,,,,,-88,165,70,75,0.25,1,no,3d,default,,nonlooping,,1,0,74,100,90,0.1,no,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain_fence,,loaded,fly\bump\fence\chainlink\chainlink_01.wav,,,AMB_AMBIENCE_3D_MOD,,,,,BUS_FX,,,,65,,100,100,400,1000,1000,,,,,,,,,-88,165,70,75,0.25,1,no,3d,default,,nonlooping,,1,0,74,100,90,0.1,no,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain_fence,,loaded,fly\bump\fence\chainlink\chainlink_02.wav,,,AMB_AMBIENCE_3D_MOD,,,,,BUS_FX,,,,65,,100,100,400,1000,1000,,,,,,,,,-88,165,70,75,0.25,1,no,3d,default,,nonlooping,,1,0,74,100,90,0.1,no,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain_fence,,loaded,fly\bump\fence\chainlink\chainlink_03.wav,,,AMB_AMBIENCE_3D_MOD,,,,,BUS_FX,,,,65,,100,100,400,1000,1000,,,,,,,,,-88,165,70,75,0.25,1,no,3d,default,,nonlooping,,1,0,74,100,90,0.1,no,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Last stand sounds
zc_player_near_death,,streamed,MystifiedTulip\essentials\player_near_death.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,100,100,,,,,,,,,,,,,,,,,,,2d,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zc_player_down,,streamed,mystifiedtulip\essentials\bleedout\zc_player_down.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,100,100,,,,,,,,,,,,,,,,,,,2d,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
