Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber,
# Fire staff
wpn_one_inch_punch_fire_npc,,loaded,wpn\energy\staff\fire\projectile\explo\proj_explo_00.wav,,,,,wpn_one_inch_punch_npc,,,BUS_HDRFX,grp_hdrfx,snp_hdrfx,,10,0,73,73,300,1000,1000,allon,default,allon,default,4,priority,2,reject,-88,0,40,90,0.25,1,no,3d,default,,nonlooping,,1,0,50,150,89,0.25,,yes,,0,,no,,,,,,,,,yes,no,no,0,0,,no,,,,,,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_one_inch_punch_fire_npc,,loaded,wpn\energy\staff\fire\projectile\explo\proj_explo_01.wav,,,,,wpn_one_inch_punch_npc,,,BUS_HDRFX,grp_hdrfx,snp_hdrfx,,10,0,73,73,300,1000,1000,allon,default,allon,default,4,priority,2,reject,-88,0,40,90,0.25,1,no,3d,default,,nonlooping,,1,0,50,150,89,0.25,,yes,,0,,no,,,,,,,,,yes,no,no,0,0,,no,,,,,,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_one_inch_punch_fire_npc,,loaded,wpn\energy\staff\fire\projectile\explo\proj_explo_02.wav,,,,,wpn_one_inch_punch_npc,,,BUS_HDRFX,grp_hdrfx,snp_hdrfx,,10,0,73,73,300,1000,1000,allon,default,allon,default,4,priority,2,reject,-88,0,40,90,0.25,1,no,3d,default,,nonlooping,,1,0,50,150,89,0.25,,yes,,0,,no,,,,,,,,,yes,no,no,0,0,,no,,,,,,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_one_inch_punch_fire_plr,,loaded,wpn\energy\staff\fire\projectile\explo\proj_explo_00.wav,,,,,wpn_one_inch_punch_plr,,,BUS_HDRFX,grp_hdrfx,snp_hdrfx,,10,92,74,74,0,10000,10000,allon,default,allon,default,8,priority,2,reject,-88,0,90,90,0.25,1,no,2d,wpn_all,,nonlooping,,1,0,0,0,0,0.25,,yes,,0,,no,,,,,,,,,yes,no,no,0,0,,no,,,,,,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_one_inch_punch_fire_plr,,loaded,wpn\energy\staff\fire\projectile\explo\proj_explo_01.wav,,,,,wpn_one_inch_punch_plr,,,BUS_HDRFX,grp_hdrfx,snp_hdrfx,,10,92,74,74,0,10000,10000,allon,default,allon,default,8,priority,2,reject,-88,0,90,90,0.25,1,no,2d,wpn_all,,nonlooping,,1,0,0,0,0,0.25,,yes,,0,,no,,,,,,,,,yes,no,no,0,0,,no,,,,,,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_one_inch_punch_fire_plr,,loaded,wpn\energy\staff\fire\projectile\explo\proj_explo_02.wav,,,,,wpn_one_inch_punch_plr,,,BUS_HDRFX,grp_hdrfx,snp_hdrfx,,10,92,74,74,0,10000,10000,allon,default,allon,default,8,priority,2,reject,-88,0,90,90,0.25,1,no,2d,wpn_all,,nonlooping,,1,0,0,0,0,0.25,,yes,,0,,no,,,,,,,,,yes,no,no,0,0,,no,,,,,,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_one_inch_punch_npc,,loaded,zmb\level\zm_tomb\oip\punch\punch_miss.wav,,,,,,,,BUS_HDRFX,grp_hdrfx,snp_hdrfx,,10,0,73,73,300,1000,1000,allon,default,allon,default,4,priority,2,reject,-88,0,40,90,0.25,1,no,3d,default,,nonlooping,,1,0,50,150,89,0.25,,yes,,0,,no,,,,,,,,,yes,no,no,0,0,,no,,,,,,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_one_inch_punch_other,,loaded,zmb\level\zm_tomb\oip\other\punch_imp_wall_00.wav,,,,,,,,BUS_HDRFX,grp_hdrfx,snp_hdrfx,,10,0,82,82,300,1000,1000,allon,default,allon,default,4,priority,8,oldest,-88,0,40,90,0.25,1,no,3d,default,,nonlooping,,1,0,50,150,89,0.25,,yes,,0,,no,,,,,,,,,yes,no,no,0,0,,no,,,,,,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_one_inch_punch_plr,,loaded,zmb\level\zm_tomb\oip\punch\punch_miss.wav,,,,,,,,BUS_HDRFX,grp_hdrfx,snp_hdrfx,,10,92,84,84,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,-88,0,90,90,0.25,1,no,2d,wpn_all,,nonlooping,,1,0,0,0,0,0.25,,yes,,0,,no,,,,,,,,,yes,no,no,0,0,,no,,,,,,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
