Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
# Sounds
room_of_thanks_sound_music_1,,streamed,_reapy\hellround\music\void-construct-epic-metal-366833.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,,,95,95,0,200,200,,,,,,,,,0,0,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
room_of_thanks_sound_music_2,,streamed,_reapy\hellround\music\melodic-metal-186403.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,,,95,95,0,200,200,,,,,,,,,0,0,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
room_of_thanks_sound_music_3,,streamed,_reapy\hellround\music\metal-dark-matter-111451.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,,,95,95,0,200,200,,,,,,,,,0,0,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
room_of_thanks_sound_music_4,,streamed,_reapy\hellround\music\deathcore-182263.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,,,95,95,0,200,200,,,,,,,,,0,0,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
room_of_thanks_sound_music_5,,streamed,_reapy\hellround\music\aggressive-metal-sinister-111839.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,,,95,95,0,200,200,,,,,,,,,0,0,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
room_of_thanks_sound_boot,,loaded,zmb\zmb_blops\evt\zombie_moon\_sidequest\vril\evt_start_old_computer.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,,,100,100,0,100,200,,,,,,,,,-100,100,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
room_of_thanks_sound_swoosh,,loaded,zmb\zmb_blops\evt\zombie_moon\_sidequest\vril\evt_typing_maxis_enter.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,,,100,100,0,100,200,,,,,,,,,-100,100,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Weapons
room_of_thanks_weapon_light_buzz,,loaded,zmb\zmb_blops\amb\lights\buzz\buzz_01.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,,,90,90,0,175,175,,,,,,,,,-100,100,,,,,,,,,looping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
room_of_thanks_weapon_light_spark,,loaded,zmb\level\zm_zod\beastmode\electro\idle_loop\sparking_lp.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,,,85,85,0,150,150,,,,,,,,,-100,100,,,,,,,,,looping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Scripts
room_of_thanks_scripts_server,,loaded,zmb\level\zm_zod\beastmode\power\machine_loop.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,,,65,65,0,125,125,,,,,,,,,-300,-300,,,,,,,,,looping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
